z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18244
0.743379,-1.35025,-9.25116
0.729598,-1.44309,-9.31276
0.714893,-1.53651,-9.36777
0.699257,-1.63045,-9.4168
0.682711,-1.71682,-7.56511
0.665448,-1.77009,-2.89051
0.647899,-1.77141,2.17329
0.630523,-1.73068,5.46684
0.613612,-1.66704,6.94196
0.597292,-1.59478,7.38838
0.581595,-1.52001,7.5528
0.566525,-1.44327,7.80962
0.552099,-1.36316,8.20923
0.538349,-1.27873,8.6528
0.525311,-1.19012,9.03336
0.513018,-1.0983,9.29562
0.501494,-1.00452,9.43478
0.490752,-0.909904,9.47187
0.4808,-0.815341,9.4315
0.471636,-0.721508,9.33121
0.463257,-0.628947,9.18058
0.455653,-0.538135,8.98452
0.448815,-0.449505,8.74664
0.442727,-0.363456,8.47102
0.437372,-0.28034,8.16253
0.43273,-0.200459,7.82635
0.428779,-0.124063,7.46748
0.425494,-0.0513539,7.09048
0.422849,0.0175078,6.69937
0.420818,0.0824003,6.29773
0.419371,0.143235,5.88876
0.418478,0.199955,5.47539
0.418109,0.25253,5.06028
0.418234,0.300956,4.64587
0.418819,0.345251,4.23435
0.419834,0.385454,3.82769
0.421245,0.421625,3.42765
0.423022,0.453837,3.03584
0.425131,0.48218,2.65365
0.427541,0.506758,2.28234
0.430221,0.527684,1.92302
0.433139,0.545085,1.57668
0.436265,0.559095,1.24418
0.439569,0.569855,0.926249
0.443023,0.577515,0.623537
0.446597,0.582231,0.336576
0.450266,0.584161,0.0658049
0.454003,0.583471,-0.188428
0.457783,0.580326,-0.425866
0.461582,0.574896,-0.646333
0.465379,0.56735,-0.849736
0.469152,0.557861,-1.03606
0.47288,0.546597,-1.20536
0.476547,0.533729,-1.35777
0.480134,0.519425,-1.49349
0.483626,0.503851,-1.61278
0.487008,0.487168,-1.71597
0.490269,0.469536,-1.80343
0.493396,0.45111,-1.87561
0.49638,0.432041,-1.933
0.499212,0.412473,-1.97613
0.501884,0.392546,-2.00558
0.504391,0.372393,-2.02196
0.506727,0.352143,-2.02594
0.508891,0.331914,-2.01819
0.510878,0.311822,-1.99941
0.512689,0.291973,-1.97034
0.514323,0.272464,-1.93172
0.515781,0.253389,-1.88431
0.517064,0.234831,-1.82887
0.518177,0.216865,-1.76616
0.519121,0.199562,-1.69695
0.519902,0.182982,-1.622
0.520525,0.167177,-1.54207
0.520995,0.152195,-1.45788
0.521319,0.138075,-1.37016
0.521503,0.124846,-1.27962
0.521554,0.112535,-1.18692
0.52148,0.10116,-1.09273
0.521288,0.0907309,-0.997665
0.520987,0.0812547,-0.902325
0.520584,0.072731,-0.807273
0.520088,0.0651539,-0.713038
0.519506,0.0585126,-0.620115
0.518848,0.0527917,-0.528963
0.518121,0.0479711,-0.440004
0.517334,0.0440268,-0.353623
0.516494,0.0409313,-0.270169
0.515609,0.0386536,-0.189951
0.514687,0.0371598,-0.113244
0.513736,0.0364136,-0.0402849
0.512761,0.0363764,0.0287256
0.511771,0.0370078,0.093621
0.510771,0.038266,0.154269
0.509768,0.0401079,0.21057
0.508768,0.0424897,0.262456
0.507775,0.045367,0.309889
0.506796,0.0486952,0.352858
0.505834,0.0524297,0.391382
0.504894,0.0565263,0.425501
0.50398,0.0609412,0.455282
0.503095,0.0656316,0.480811
0.502243,0.0705553,0.502194
0.501427,0.0756717,0.519556
0.500648,0.0809412,0.533038
0.499909,0.0863259,0.542795
0.499211,0.0917892,0.548992
0.498556,0.0972967,0.551809
0.497945,0.102815,0.551432
0.497379,0.108314,0.548055
0.496857,0.113765,0.541878
0.496381,0.11914,0.533105
0.495949,0.124414,0.521943
0.495563,0.129565,0.508601
0.49522,0.134572,0.493286
0.49492,0.139417,0.476205
0.494663,0.144082,0.457564
0.494446,0.148554,0.437564
0.494269,0.152819,0.416401
0.49413,0.156868,0.394268
0.494027,0.160691,0.37135
0.493959,0.164281,0.347827
0.493924,0.167634,0.32387
0.49392,0.170746,0.299642
0.493945,0.173614,0.2753
0.493996,0.176239,0.25099
0.494073,0.178622,0.22685
0.494172,0.180765,0.203007
