z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18244
0.743379,-1.35025,-9.25115
0.729598,-1.44309,-9.31275
0.715274,-1.47255,-5.39091
0.700417,-1.54032,-7.09854
0.684906,-1.58979,-1.91747
0.669225,-1.56822,5.68506
0.654061,-1.48172,10.7885
0.639869,-1.36182,12.6284
0.626801,-1.23565,12.4008
0.614819,-1.11622,11.5092
0.603821,-1.00528,10.7742
0.593728,-0.899777,10.4
0.584496,-0.796635,10.2568
0.576108,-0.69459,10.1507
0.568553,-0.593984,9.96118
0.561814,-0.495872,9.65865
0.555868,-0.40128,9.2678
0.550683,-0.310891,8.82661
0.546226,-0.225046,8.36353
0.542462,-0.143878,7.89274
0.539356,-0.0674375,7.41873
0.536857,0.000966386,6.70237
0.534911,0.0628263,6.02466
0.533466,0.117462,5.26899
0.532473,0.16505,4.52875
0.531879,0.205617,3.82647
0.531647,0.241145,3.31062
0.531738,0.2704,2.76754
0.532122,0.295344,2.36961
0.532779,0.316784,2.03151
0.533694,0.3353,1.74032
0.534855,0.351436,1.50096
0.53625,0.365062,1.27057
0.537869,0.377175,1.11807
0.539707,0.388538,1.03435
0.541762,0.399089,0.966717
0.544032,0.409613,0.963618
0.546507,0.41868,0.863825
0.549186,0.428725,0.909376
0.552078,0.440926,1.05708
0.555182,0.452887,1.08464
0.558489,0.46497,1.13169
0.561975,0.475044,0.998212
0.565617,0.484506,0.877734
0.569383,0.491116,0.573181
0.573211,0.491492,0.00839335
0.577043,0.488882,-0.389142
0.580828,0.48197,-0.849615
0.584513,0.471028,-1.24476
0.588049,0.456711,-1.55109
0.591399,0.440066,-1.75758
0.594536,0.42174,-1.90255
0.597447,0.403249,-1.93386
0.600121,0.383559,-2.01455
0.602543,0.362505,-2.11262
0.604704,0.340598,-2.19843
0.606605,0.318353,-2.25191
0.608241,0.29503,-2.34893
0.609613,0.271038,-2.41404
0.610729,0.246887,-2.42444
0.611598,0.222419,-2.42512
0.612228,0.19745,-2.43353
0.612633,0.172854,-2.39255
0.612836,0.149485,-2.28885
0.612858,0.126948,-2.18928
0.612716,0.105561,-2.05268
0.612437,0.086369,-1.83584
0.61205,0.0698507,-1.57207
0.611583,0.0561358,-1.28526
0.611068,0.0460436,-0.933645
0.610529,0.0379315,-0.692608
0.609997,0.0342224,-0.307565
0.609516,0.0365238,0.209119
0.609117,0.0416744,0.555525
0.608822,0.0507703,0.964142
0.608647,0.0617095,1.19058
0.608596,0.074496,1.34153
0.608666,0.087241,1.30763
0.608837,0.0991897,1.18016
0.609091,0.110233,1.03281
0.609405,0.11979,0.866476
0.609756,0.127923,0.730386
0.610124,0.134528,0.604645
0.610493,0.14009,0.510807
0.610862,0.146658,0.55398
0.611226,0.151555,0.44608
0.611575,0.155696,0.387117
0.611905,0.159238,0.321127
0.612213,0.162011,0.234958
0.612486,0.162613,0.0474546
0.612698,0.158884,-0.319454
0.61283,0.153767,-0.532886
0.61287,0.146064,-0.813568
0.612803,0.136022,-1.04359
0.612624,0.125087,-1.13235
0.612331,0.112915,-1.20176
0.611925,0.100171,-1.21534
0.611419,0.0883233,-1.13261
0.610829,0.077485,-1.03453
0.610177,0.0683524,-0.874674
0.609479,0.0602912,-0.741523
0.60875,0.0536944,-0.58358
0.608011,0.0490122,-0.402055
0.607287,0.0476134,-0.121079
0.606602,0.0483171,0.104927
0.605973,0.0515625,0.366862
0.605423,0.0574654,0.631356
0.604961,0.0645122,0.773045
0.604603,0.0745173,1.00601
0.604369,0.0873942,1.24036
0.604258,0.09984,1.26114
0.604262,0.112687,1.30091
0.604377,0.125677,1.28669
0.604592,0.138182,1.20896
0.604895,0.149666,1.08903
0.605268,0.159843,0.952051
0.605694,0.168638,0.814649
0.606159,0.176091,0.683845
0.606648,0.182278,0.560836
0.607151,0.187272,0.444929
0.607652,0.190568,0.293364
0.608144,0.192985,0.19184
0.60861,0.192957,-0.017257
0.609026,0.189691,-0.30599
0.609377,0.185028,-0.496325
0.609654,0.17845,-0.705926
0.609844,0.16982,-0.895025
0.609941,0.160488,-0.962955
