z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18244
0.743379,-1.35025,-9.25115
0.729598,-1.44309,-9.31274
0.714893,-1.53651,-9.36775
0.699257,-1.63045,-9.41676
0.68271,-1.71682,-7.5651
0.665447,-1.77009,-2.89073
0.647899,-1.77142,2.17259
0.630522,-1.73069,5.46544
0.61361,-1.66707,6.93968
0.59729,-1.59484,7.38509
0.581592,-1.52011,7.54837
0.566523,-1.44342,7.80394
0.552097,-1.36338,8.20218
0.538348,-1.27902,8.6443
0.525311,-1.19051,9.02336
0.513021,-1.0988,9.28411
0.501502,-1.00514,9.42183
0.490767,-0.910657,9.45758
0.480824,-0.816244,9.41601
0.471671,-0.722571,9.3147
0.463306,-0.630179,9.16326
0.45572,-0.539543,8.96659
0.448903,-0.451095,8.72831
0.442841,-0.365231,8.45249
0.437516,-0.282301,8.14398
0.432908,-0.202605,7.80791
0.428996,-0.126391,7.44928
0.426142,0.0125629,11.8214
0.424426,0.124812,11.1882
0.423777,0.241886,12.2343
0.424289,0.368474,12.8963
0.426022,0.496391,12.5392
0.42894,0.616238,11.3961
0.432935,0.722617,9.93469
0.43787,0.814311,8.49686
0.443612,0.892418,7.21715
0.450046,0.958563,6.0892
0.457069,1.01398,5.05822
0.464592,1.0594,4.07949
0.47253,1.09521,3.13567
0.480801,1.12177,2.22997
0.489327,1.13953,1.37313
0.498034,1.14902,0.5744
0.506854,1.15084,-0.161618
0.515722,1.14564,-0.834304
0.524582,1.13404,-1.44511
0.533379,1.11665,-1.99606
0.542066,1.09405,-2.48912
0.550598,1.06682,-2.92615
0.558937,1.03551,-3.30901
0.567046,1.00064,-3.63979
0.574894,0.962725,-3.92081
0.582455,0.922251,-4.15459
0.589705,0.879676,-4.34376
0.596622,0.835432,-4.49103
0.603191,0.789923,-4.59908
0.609397,0.743527,-4.67061
0.615229,0.696596,-4.70827
0.620679,0.649455,-4.71465
0.625741,0.602403,-4.6923
0.630411,0.555714,-4.64366
0.63469,0.50964,-4.57112
0.638578,0.464406,-4.47698
0.642077,0.420217,-4.36342
0.645193,0.377256,-4.23257
0.647932,0.335686,-4.08641
0.650303,0.295649,-3.92688
0.652314,0.25727,-3.75578
0.653977,0.220654,-3.57484
0.655303,0.185893,-3.38571
0.656305,0.153058,-3.18994
0.656998,0.12221,-2.98898
0.657395,0.0933928,-2.78423
0.657513,0.0666369,-2.57699
0.657367,0.0419612,-2.36848
0.656973,0.019372,-2.15986
0.656348,-0.00113511,-1.9522
0.65551,-0.0195752,-1.74651
0.654475,-0.035973,-1.54373
0.653261,-0.050362,-1.34473
0.651885,-0.0627844,-1.15029
0.650363,-0.0732897,-0.961164
0.648714,-0.0819346,-0.778007
0.646953,-0.0887819,-0.601424
0.645097,-0.0939003,-0.431952
0.643161,-0.0973634,-0.270066
0.641162,-0.0992493,-0.116181
0.639114,-0.09964,0.0293538
0.637031,-0.0986205,0.166244
0.634927,-0.0962786,0.294256
0.632814,-0.0927039,0.413211
0.630707,-0.0879878,0.522989
0.628614,-0.0822224,0.623519
0.626549,-0.0755004,0.714784
0.62452,-0.0679142,0.796815
0.622537,-0.0595559,0.86969
0.620608,-0.0505164,0.933532
0.618742,-0.0408852,0.988504
0.616944,-0.0307499,1.03481
0.615221,-0.0201961,1.07269
0.613578,-0.00930655,1.10241
0.612019,0.00183871,1.12427
0.610549,0.0131628,1.13861
0.609171,0.0245924,1.14578
0.607886,0.0360576,1.14615
0.606696,0.0474925,1.1401
0.605603,0.0588351,1.12805
0.604606,0.0700275,1.11042
0.603707,0.0810161,1.08762
0.602903,0.0917515,1.06009
0.602193,0.102189,1.02825
0.601577,0.112287,0.992552
0.601051,0.122009,0.953415
0.600614,0.131325,0.911269
0.600261,0.140204,0.86653
0.599991,0.148625,0.81961
0.5998,0.156567,0.770907
0.599683,0.164014,0.720807
0.599638,0.170954,0.669681
0.599659,0.17738,0.617885
0.599742,0.183285,0.565759
0.599884,0.188669,0.513622
0.60008,0.193532,0.461778
0.600325,0.19788,0.410509
0.600614,0.20172,0.360078
0.600944,0.205061,0.310726
