z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18244
0.743379,-1.35025,-9.25115
0.729598,-1.44309,-9.31274
0.714893,-1.53651,-9.36775
0.699257,-1.63045,-9.41676
0.68271,-1.71682,-7.5651
0.665447,-1.77009,-2.89073
0.647899,-1.77142,2.17259
0.630522,-1.73069,5.46544
0.61361,-1.66707,6.93968
0.59729,-1.59484,7.38509
0.581592,-1.52011,7.54837
0.566523,-1.44342,7.80394
0.552097,-1.36338,8.20218
0.538348,-1.27902,8.6443
0.525311,-1.19051,9.02336
0.513021,-1.0988,9.28411
0.501502,-1.00514,9.42183
0.490767,-0.910657,9.45758
0.480824,-0.816244,9.41601
0.471671,-0.722571,9.3147
0.463306,-0.630179,9.16326
0.45572,-0.539543,8.96659
0.448903,-0.451095,8.72831
0.443228,-0.298803,13.2018
0.438782,-0.1723,12.6513
0.435502,-0.0402365,13.7633
0.43349,0.101921,14.4762
0.43281,0.245842,14.1563
0.433431,0.382002,13.0382
0.435249,0.504883,11.5905
0.43813,0.61316,10.156
0.441944,0.707835,8.87033
0.446575,0.790443,7.72794
0.451925,0.862142,6.67495
0.457904,0.923575,5.66741
0.464427,0.975088,4.68875
0.471411,1.01698,3.7428
0.478779,1.04963,2.84092
0.486453,1.07354,1.99291
0.494365,1.08928,1.20385
0.502447,1.09744,0.474844
0.51064,1.09862,-0.195119
0.518885,1.09341,-0.807661
0.527132,1.08236,-1.36435
0.535332,1.06604,-1.86666
0.543442,1.04497,-2.31611
0.551422,1.01967,-2.71443
0.559236,0.990654,-3.06363
0.566851,0.958393,-3.36588
0.574237,0.923345,-3.62352
0.581371,0.885945,-3.83894
0.588228,0.846602,-4.01456
0.594789,0.8057,-4.1528
0.601037,0.763602,-4.25604
0.606959,0.720645,-4.32662
0.612542,0.677143,-4.36686
0.617778,0.633389,-4.37899
0.622661,0.58965,-4.3652
0.627184,0.546177,-4.32759
0.631347,0.503195,-4.26819
0.635148,0.460914,-4.18896
0.63859,0.41952,-4.09176
0.641674,0.379185,-3.9784
0.644406,0.340061,-3.8506
0.646792,0.302283,-3.71001
0.64884,0.265971,-3.55821
0.650558,0.231229,-3.3967
0.651957,0.198147,-3.22693
0.653048,0.1668,-3.05027
0.653843,0.13725,-2.86803
0.654355,0.109546,-2.68148
0.654597,0.0837253,-2.4918
0.654584,0.0598124,-2.30013
0.654331,0.0378219,-2.10754
0.653853,0.0177576,-1.91505
0.653167,-0.00038663,-1.72362
0.652287,-0.0166262,-1.53417
0.651229,-0.0309854,-1.34753
0.650011,-0.0434965,-1.1645
0.648648,-0.0541995,-0.985813
0.647156,-0.0631414,-0.812141
0.645551,-0.0703757,-0.644103
0.643848,-0.0759617,-0.482259
0.642062,-0.079964,-0.32711
0.640209,-0.0824519,-0.179099
0.638302,-0.0834989,-0.0386112
0.636355,-0.0831821,0.0940237
0.634382,-0.0815813,0.218534
0.632395,-0.0787791,0.334703
0.630406,-0.0748597,0.442369
0.628427,-0.0699088,0.541421
0.626467,-0.0640128,0.631802
0.624537,-0.0572587,0.713503
0.622646,-0.0497329,0.786561
0.620802,-0.0415216,0.851061
0.619013,-0.0327097,0.907126
0.617285,-0.0233807,0.954923
0.615625,-0.0136163,0.994653
0.614039,-0.0034959,1.02655
0.61253,0.00690358,1.05089
0.611102,0.017508,1.06796
0.60976,0.0282464,1.07809
0.608504,0.0390511,1.08161
0.607338,0.0498579,1.07888
0.606262,0.0606064,1.07029
0.605277,0.0712398,1.05622
0.604384,0.0817056,1.03708
0.603581,0.091955,1.01326
0.602867,0.101944,0.985175
0.602243,0.111631,0.95324
0.601704,0.12098,0.917863
0.60125,0.129959,0.879449
0.600878,0.13854,0.8384
0.600584,0.146699,0.795108
0.600366,0.154414,0.749955
0.60022,0.16167,0.703313
0.600143,0.168453,0.655541
0.600131,0.174754,0.606982
0.60018,0.180567,0.557963
0.600285,0.185888,0.508798
0.600443,0.190719,0.459778
0.600649,0.195061,0.41118
0.6009,0.19892,0.36326
0.601191,0.202305,0.316256
0.601517,0.205226,0.270384
0.601875,0.207695,0.225844
