z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18244
0.743379,-1.35025,-9.25115
0.729598,-1.44309,-9.31274
0.714893,-1.53651,-9.36775
0.699257,-1.63045,-9.41676
0.68271,-1.71682,-7.5651
0.665447,-1.77009,-2.89073
0.647899,-1.77142,2.17259
0.630522,-1.73069,5.46544
0.61361,-1.66707,6.93968
0.59729,-1.59484,7.38509
0.581592,-1.52011,7.54837
0.566523,-1.44342,7.80394
0.552097,-1.36338,8.20218
0.538348,-1.27902,8.6443
0.525311,-1.19051,9.02336
0.513021,-1.0988,9.28411
0.501502,-1.00514,9.42183
0.490767,-0.910657,9.45758
0.480824,-0.816244,9.41601
0.471671,-0.722571,9.3147
0.463306,-0.630179,9.16326
0.45572,-0.539543,8.96659
0.448903,-0.451095,8.72831
0.442841,-0.365231,8.45249
0.437516,-0.282301,8.14398
0.432908,-0.202605,7.80791
0.428996,-0.126391,7.44928
0.425755,-0.0538631,7.07257
0.42316,0.0148212,6.68179
0.421182,0.0795395,6.28045
0.419793,0.140203,5.87174
0.418964,0.196754,5.45853
0.418663,0.24916,5.04346
0.418859,0.297417,4.62892
0.41952,0.341541,4.2171
0.420613,0.38157,3.80994
0.422107,0.41756,3.40919
0.423967,0.449582,3.01639
0.426161,0.477725,2.63297
0.428655,0.502088,2.2602
0.431418,0.522785,1.89925
0.434418,0.539939,1.55116
0.437622,0.553683,1.21684
0.441002,0.564161,0.897102
0.444526,0.57152,0.592638
0.448168,0.575918,0.304033
0.451898,0.577515,0.0317713
0.455692,0.576477,-0.223761
0.459523,0.572973,-0.462271
0.463367,0.567175,-0.683557
0.467202,0.559254,-0.887504
0.471007,0.549385,-1.07408
0.474762,0.537741,-1.24334
0.478447,0.524495,-1.39541
0.482048,0.509818,-1.53049
0.485546,0.493878,-1.64885
0.48893,0.47684,-1.75082
0.492185,0.458868,-1.83682
0.495301,0.440117,-1.90729
0.498268,0.420741,-1.96274
0.501078,0.400886,-2.00374
0.503724,0.380695,-2.03088
0.5062,0.360302,-2.04482
0.508501,0.339837,-2.04623
0.510626,0.31942,-2.03581
0.512571,0.299165,-2.01431
0.514336,0.279181,-1.98248
0.515922,0.259566,-1.94108
0.517329,0.240412,-1.89089
0.518561,0.221802,-1.83271
0.519619,0.203812,-1.76732
0.520509,0.186511,-1.6955
0.521235,0.169959,-1.61803
0.521802,0.154207,-1.53568
0.522217,0.139301,-1.4492
0.522485,0.125278,-1.35933
0.522614,0.112169,-1.26677
0.522611,0.0999964,-1.17221
0.522484,0.0887769,-1.07632
0.522241,0.0785206,-0.979721
0.52189,0.0692312,-0.883017
0.521439,0.0609069,-0.786774
0.520898,0.0535403,-0.69152
0.520273,0.0471188,-0.597752
0.519574,0.0416252,-0.505926
0.518809,0.0370377,-0.416461
0.517985,0.0333308,-0.329739
0.517113,0.0304752,-0.246104
0.516198,0.0284384,-0.16586
0.515249,0.027185,-0.0892736
0.514273,0.0266773,-0.016576
0.513277,0.0268752,0.0520398
0.512269,0.0277372,0.116416
0.511253,0.02922,0.176428
0.510238,0.0312797,0.231986
0.509227,0.0338713,0.28303
0.508228,0.0369496,0.329533
0.50762,0.105115,4.99528
0.507514,0.151457,4.79806
0.507871,0.206668,6.23831
0.508814,0.275366,7.30746
0.510435,0.349683,7.38963
0.512733,0.420331,6.69581
0.515638,0.482491,5.721
0.519052,0.534407,4.73334
0.522877,0.57701,3.88372
0.527034,0.611823,3.16566
0.531456,0.640064,2.53274
0.53609,0.662239,1.935
0.540883,0.678576,1.36027
0.545762,0.68483,0.48589
0.550676,0.687185,-0.0167439
0.555574,0.681681,-0.755323
0.56038,0.666673,-1.60589
0.565039,0.64577,-2.2346
0.569519,0.621166,-2.67015
0.573785,0.590604,-3.17267
0.577801,0.555698,-3.52832
0.581559,0.519859,-3.63166
0.585061,0.482799,-3.71404
0.588313,0.445993,-3.66844
0.591325,0.40971,-3.58181
0.594114,0.375174,-3.39965
0.596691,0.341281,-3.27631
0.599069,0.309643,-3.06474
0.601261,0.279978,-2.88087
0.603277,0.252574,-2.6637
