z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18244
0.743379,-1.35025,-9.25115
0.729598,-1.44309,-9.31274
0.714893,-1.53651,-9.36775
0.699257,-1.63045,-9.41676
0.68271,-1.71682,-7.5651
0.665447,-1.77009,-2.89072
0.647899,-1.77142,2.17266
0.630522,-1.73069,5.46568
0.61361,-1.66707,6.94023
0.59729,-1.59483,7.38608
0.581593,-1.52009,7.54996
0.566523,-1.44338,7.80627
0.552097,-1.36331,8.2054
0.538347,-1.27891,8.64854
0.525309,-1.19035,9.02874
0.513017,-1.09858,9.29069
0.501495,-1.00484,9.42964
0.490756,-0.91028,9.46663
0.480806,-0.81577,9.42626
0.472022,-0.657471,13.9363
0.464502,-0.522687,13.5474
0.458188,-0.382967,14.6223
0.453184,-0.231669,15.4276
0.449559,-0.0793174,15.064
0.447279,0.0651581,13.9341
0.44625,0.197377,12.5513
0.446327,0.312181,10.9242
0.447373,0.412685,9.54317
0.44927,0.500016,8.25947
0.451927,0.577036,7.1963
0.455248,0.641505,6.02867
0.459141,0.694655,4.94824
0.463536,0.739667,4.09116
0.468363,0.774468,3.13651
0.473553,0.800915,2.32555
0.479053,0.820594,1.64941
0.484814,0.833711,1.02758
0.490796,0.841824,0.545317
0.49696,0.844761,0.0810497
0.503277,0.844777,-0.216863
0.509729,0.842239,-0.461789
0.516296,0.838003,-0.621115
0.522951,0.830296,-0.888946
0.529679,0.822694,-0.933172
0.536472,0.814746,-0.98471
0.543301,0.803577,-1.21804
0.550131,0.790111,-1.42143
0.556917,0.773001,-1.74999
0.563619,0.754326,-1.99685
0.570191,0.731942,-2.36253
0.57656,0.703236,-2.89396
0.582662,0.671436,-3.24624
0.58845,0.637628,-3.51275
0.593874,0.600028,-3.84402
0.598881,0.559499,-4.09148
0.603438,0.518039,-4.19494
0.607523,0.475925,-4.25347
0.611128,0.434601,-4.18459
0.614252,0.393871,-4.08953
0.616892,0.35334,-4.00544
0.619066,0.316146,-3.72231
0.6208,0.280825,-3.52363
0.622109,0.246244,-3.38478
0.623015,0.213843,-3.18126
0.623552,0.184072,-2.96199
0.623755,0.155909,-2.78765
0.623651,0.12877,-2.63553
0.623263,0.101708,-2.56972
0.62261,0.0747375,-2.54841
0.621724,0.0501795,-2.38938
0.620637,0.0263818,-2.3037
0.61937,0.00380672,-2.15329
0.617957,-0.0159281,-1.8689
0.61643,-0.0331951,-1.58904
0.614826,-0.0467964,-1.22664
0.613193,-0.0552358,-0.752657
0.611578,-0.0589554,-0.281499
0.610009,-0.0601393,0.041842
0.608526,-0.0555585,0.54694
0.607183,-0.0439663,1.15022
0.606002,-0.0314838,1.36168
0.605004,-0.0135534,1.82944
0.604213,0.00661567,2.05744
0.603627,0.0277138,2.15016
0.60324,0.0493764,2.1652
0.603037,0.069969,2.03585
0.602992,0.0889581,1.84493
0.603082,0.106456,1.65469
0.603281,0.121985,1.44907
0.603568,0.136132,1.30257
0.603925,0.148786,1.17012
0.604335,0.159705,1.028
0.604785,0.169335,0.903704
0.605262,0.177675,0.768573
0.605757,0.184595,0.621691
0.60626,0.190033,0.474227
0.606739,0.190714,0.0918475
0.607172,0.189018,-0.181258
0.607549,0.186345,-0.36071
0.607853,0.179978,-0.681232
0.608062,0.170725,-0.932169
0.608164,0.159936,-1.08464
0.608163,0.148843,-1.13112
0.608061,0.136772,-1.1907
0.607862,0.124619,-1.17628
0.607579,0.113249,-1.09554
0.607226,0.102803,-0.995535
0.60682,0.0937116,-0.858822
0.606385,0.0870092,-0.639523
0.605935,0.081288,-0.502093
0.605488,0.0777989,-0.289835
0.60507,0.0775026,-0.00993541
0.604703,0.0795298,0.228231
0.604395,0.0825062,0.367941
0.604164,0.0883898,0.612261
0.604032,0.0978099,0.904457
0.604011,0.108444,1.05998
0.604099,0.119415,1.1355
0.604293,0.131098,1.18768
0.604588,0.142915,1.16383
0.604975,0.154119,1.07253
0.605436,0.164188,0.944132
0.605954,0.172901,0.805238
0.606513,0.180238,0.670296
0.607096,0.18627,0.543752
0.607691,0.191079,0.425249
0.608286,0.19474,0.313632
