z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18244
0.743379,-1.35025,-9.25116
0.729979,-1.37913,-5.33592
0.716048,-1.44864,-8.0775
0.701332,-1.5271,-6.53256
0.686026,-1.5561,0.749634
0.670785,-1.5108,7.53405
0.656223,-1.4139,11.105
0.642654,-1.29712,11.8615
0.630132,-1.18117,11.2482
0.61858,-1.07309,10.4367
0.607911,-0.971666,9.93654
0.598067,-0.873435,9.75851
0.589025,-0.776098,9.7173
0.580779,-0.679235,9.64443
0.573321,-0.583643,9.46338
0.566638,-0.490447,9.1747
0.560705,-0.400556,8.81279
0.555497,-0.314509,8.41239
0.550982,-0.232568,7.99494
0.54713,-0.154848,7.56919
0.543912,-0.0814187,7.13729
0.541296,-0.0123379,6.69994
0.539253,0.0523479,6.25885
0.537752,0.112616,5.81692
0.536763,0.168474,5.37748
0.536255,0.219965,4.94359
0.536199,0.267158,4.5177
0.536564,0.310142,4.10163
0.537321,0.349023,3.69672
0.53844,0.383918,3.30401
0.539893,0.414953,2.92432
0.541651,0.442263,2.5583
0.543687,0.465987,2.20649
0.545973,0.486269,1.86929
0.548482,0.503258,1.54699
0.551188,0.517102,1.23979
0.554065,0.527954,0.94781
0.557089,0.535967,0.671128
0.560235,0.541294,0.409762
0.563479,0.544087,0.1637
0.566799,0.544499,-0.0671032
0.570173,0.542684,-0.282717
0.57358,0.538791,-0.483234
0.577,0.532972,-0.668772
0.580414,0.525376,-0.839471
0.583804,0.51615,-0.995491
0.587153,0.50544,-1.13702
0.590445,0.49339,-1.26427
0.593665,0.480142,-1.37747
0.5968,0.465834,-1.47689
0.599837,0.450603,-1.56283
0.602765,0.434582,-1.6356
0.605575,0.4179,-1.69557
0.608256,0.400685,-1.74312
0.610801,0.383057,-1.77867
0.613205,0.365135,-1.80266
0.61546,0.347032,-1.81557
0.617563,0.328855,-1.81791
0.619511,0.310708,-1.81021
0.621301,0.292689,-1.79302
0.622932,0.274889,-1.76692
0.624405,0.257393,-1.73251
0.625718,0.240283,-1.6904
0.626875,0.223632,-1.64122
0.627878,0.207507,-1.58559
0.628728,0.191969,-1.52416
0.629431,0.177073,-1.45757
0.629991,0.162867,-1.38645
0.630413,0.149393,-1.31145
0.630701,0.136687,-1.23319
0.630863,0.124778,-1.15227
0.630904,0.113689,-1.06931
0.630832,0.103439,-0.984878
0.630653,0.0940373,-0.899536
0.630373,0.0854918,-0.813819
0.630002,0.0778033,-0.728241
0.629546,0.0709676,-0.643283
0.629012,0.0649762,-0.5594
0.628408,0.0598161,-0.477016
0.627742,0.0554703,-0.396524
0.627021,0.0519178,-0.318281
0.626252,0.0491345,-0.242615
0.625442,0.0470931,-0.169818
0.624599,0.0457634,-0.10015
0.623728,0.0451129,-0.0338361
0.622837,0.0451071,0.0289298
0.621932,0.0457096,0.0879871
0.621018,0.0468826,0.143207
0.620102,0.0485872,0.19449
0.619188,0.0507836,0.241767
0.618282,0.0534316,0.284996
0.617387,0.0564906,0.324164
0.616509,0.05992,0.359281
0.615652,0.0636794,0.39038
0.614818,0.0677289,0.417519
0.614011,0.0720294,0.440774
0.613234,0.0765424,0.46024
0.61249,0.0812307,0.47603
0.61178,0.0860582,0.488272
0.611107,0.09099,0.497105
0.610472,0.095993,0.502683
0.609876,0.101035,0.505169
0.60932,0.106087,0.504735
0.608805,0.11112,0.501557
0.60833,0.116108,0.495821
0.607898,0.121025,0.487714
0.607506,0.12585,0.477425
0.607155,0.130561,0.465147
0.606844,0.13514,0.451071
0.606572,0.13957,0.435388
0.606339,0.143835,0.418285
0.606142,0.147923,0.399948
0.605982,0.151821,0.380557
0.605857,0.155521,0.360289
0.605764,0.159014,0.339314
0.605704,0.162295,0.317795
0.605672,0.165358,0.295892
0.605669,0.168201,0.273752
0.605692,0.170822,0.251518
0.60574,0.17322,0.229325
0.60581,0.175398,0.207297
0.605901,0.177356,0.185552
0.60601,0.179099,0.164197
0.606136,0.180631,0.143332
0.606277,0.181957,0.123047
0.606431,0.183084,0.103423
0.606597,0.184019,0.0845342
0.606772,0.184768,0.0664434
