z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18245
0.743379,-1.35025,-9.25117
0.729598,-1.44309,-9.3128
0.714893,-1.53651,-9.36783
0.699258,-1.63046,-9.41687
0.682711,-1.71682,-7.56513
0.665449,-1.77009,-2.89012
0.647901,-1.7714,2.17445
0.630525,-1.73065,5.46901
0.613615,-1.66699,6.94523
0.597296,-1.59469,7.39275
0.581599,-1.51987,7.55822
0.566529,-1.44307,7.81602
0.552103,-1.3629,8.21649
0.538352,-1.27839,8.66078
0.525313,-1.18969,9.04188
0.513018,-1.09779,9.30444
0.501491,-1.00392,9.44371
0.490747,-0.909213,9.4807
0.48079,-0.814563,9.44003
0.471621,-0.720647,9.33929
0.463236,-0.628008,9.18809
0.455625,-0.537124,8.99137
0.448779,-0.448429,8.75277
0.442682,-0.362323,8.47642
0.437318,-0.279157,8.1672
0.432665,-0.199233,7.83033
0.428703,-0.1228,7.47082
0.425407,-0.050061,7.09324
0.422751,0.0188256,6.70163
0.420707,0.0837384,6.29957
0.419248,0.14459,5.89027
0.418343,0.201324,5.47665
0.417962,0.25391,5.06139
0.418074,0.302347,4.64689
0.418647,0.346652,4.23534
0.41965,0.386865,3.82872
0.42105,0.423047,3.42878
0.422816,0.455271,3.03709
0.424914,0.483627,2.65506
0.427315,0.50822,2.28394
0.429986,0.529164,1.92481
0.432895,0.546583,1.57866
0.436014,0.560613,1.24633
0.439312,0.571396,0.928559
0.442759,0.57908,0.625975
0.446329,0.583821,0.339113
0.449994,0.585777,0.0684116
0.453727,0.585113,-0.185785
0.457505,0.581994,-0.423217
0.461303,0.57659,-0.643712
0.4651,0.569071,-0.847173
0.469102,0.599071,1.79128
0.473354,0.613771,1.48156
0.477797,0.62969,2.01895
0.482484,0.653113,2.53244
0.487453,0.678326,2.4061
0.492682,0.699614,1.83459
0.498112,0.714675,1.15681
0.503657,0.720583,0.34777
0.50924,0.720015,-0.272248
0.514804,0.714752,-0.755855
0.520297,0.703495,-1.29948
0.525664,0.686683,-1.81227
0.530869,0.66679,-2.15422
0.535871,0.641517,-2.62427
0.540632,0.612239,-3.0015
0.545129,0.581094,-3.21961
0.549343,0.546566,-3.50145
0.553253,0.510353,-3.65046
0.556857,0.473548,-3.70238
0.560152,0.436459,-3.70549
0.563144,0.399643,-3.65156
0.565839,0.363617,-3.55247
0.568249,0.328746,-3.42444
0.570385,0.295251,-3.27975
0.57226,0.263259,-3.12517
0.573887,0.23285,-2.96369
0.575278,0.204085,-2.79679
0.576446,0.177012,-2.62577
0.577403,0.151664,-2.45228
0.57816,0.128056,-2.27814
0.578731,0.106184,-2.10513
0.579125,0.0860303,-1.93475
0.579355,0.0675609,-1.76817
0.579431,0.0507332,-1.60629
0.579365,0.0354968,-1.44975
0.579166,0.0217956,-1.29902
0.578844,0.0095698,-1.15442
0.578409,-0.00124329,-1.01618
0.577871,-0.0107079,-0.884412
0.577238,-0.018889,-0.759157
0.576519,-0.0258517,-0.640389
0.575724,-0.0316604,-0.528027
0.574859,-0.0363786,-0.421955
0.573933,-0.0400685,-0.322028
0.572955,-0.0427907,-0.228086
0.571931,-0.0446041,-0.139959
0.570869,-0.045566,-0.0574743
0.569776,-0.045732,0.0195374
0.56866,-0.0451558,0.0912415
0.567526,-0.0438898,0.157796
0.566382,-0.0419846,0.219348
0.565232,-0.0396329,0.266384
0.564082,-0.0366796,0.319606
0.562975,-0.0266535,0.85245
0.562126,0.0164666,3.37598
0.561588,0.0492282,3.4531
0.561354,0.0884812,4.36836
0.561495,0.135879,4.98321
0.562059,0.186188,4.98147
0.563036,0.23386,4.52353
0.564372,0.275792,3.8846
0.566004,0.311292,3.25824
0.56787,0.34096,2.71776
0.569918,0.365668,2.25771
0.57211,0.38606,1.8469
0.574405,0.401891,1.41672
0.576773,0.414127,1.04693
0.579157,0.417496,0.299398
0.581504,0.415837,-0.261143
0.583791,0.411137,-0.679031
0.585976,0.399045,-1.32435
0.587994,0.37838,-2.04869
0.589827,0.356901,-2.26323
0.591461,0.330461,-2.68866
0.592873,0.300618,-2.97403
