z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18244
0.743379,-1.35025,-9.25115
0.729598,-1.44309,-9.31274
0.714893,-1.53651,-9.36775
0.699257,-1.63045,-9.41676
0.68271,-1.71682,-7.5651
0.665447,-1.77009,-2.89073
0.647899,-1.77142,2.17259
0.630522,-1.73069,5.46544
0.61361,-1.66707,6.93968
0.59729,-1.59484,7.38509
0.581592,-1.52011,7.54837
0.566523,-1.44342,7.80394
0.552097,-1.36338,8.20218
0.538348,-1.27902,8.6443
0.525311,-1.19051,9.02336
0.513021,-1.0988,9.28411
0.501502,-1.00514,9.42183
0.490767,-0.910657,9.45758
0.480824,-0.816244,9.41601
0.471671,-0.722571,9.3147
0.463306,-0.630179,9.16326
0.45572,-0.539543,8.96659
0.448903,-0.451095,8.72831
0.442841,-0.365231,8.45249
0.437516,-0.282301,8.14398
0.432908,-0.202605,7.80791
0.428996,-0.126391,7.44928
0.425755,-0.0538631,7.07257
0.42316,0.0148212,6.68179
0.421182,0.0795395,6.28045
0.419793,0.140203,5.87174
0.418964,0.196754,5.45853
0.418663,0.24916,5.04346
0.418859,0.297417,4.62892
0.41952,0.341541,4.2171
0.420613,0.38157,3.80994
0.422107,0.41756,3.40922
0.423968,0.449583,3.01651
0.426164,0.477728,2.63323
0.428663,0.502094,2.26065
0.431432,0.522797,1.89989
0.43444,0.539958,1.55196
0.437656,0.553711,1.21773
0.441049,0.564197,0.897989
0.44459,0.571565,0.593389
0.448251,0.575969,0.304498
0.452004,0.577569,0.0317846
0.455823,0.576528,-0.224375
0.459681,0.573014,-0.463691
0.463556,0.567196,-0.685962
0.467424,0.559245,-0.891067
0.471263,0.549333,-1.07896
0.475054,0.537633,-1.24969
0.478777,0.524316,-1.40335
0.482416,0.50955,-1.54014
0.485955,0.493504,-1.66029
0.489379,0.476343,-1.76413
0.492675,0.458227,-1.85202
0.495832,0.439314,-1.92441
0.49884,0.419756,-1.98179
0.501691,0.399701,-2.02468
0.504376,0.379291,-2.05368
0.506892,0.358661,-2.0694
0.509232,0.33794,-2.07252
0.511393,0.317252,-2.06372
0.513375,0.29671,-2.04373
0.515175,0.276425,-2.01329
0.516794,0.256495,-1.97315
0.518233,0.237014,-1.92411
0.519495,0.218066,-1.86693
0.520583,0.19973,-1.80241
0.521501,0.182074,-1.73133
0.522253,0.16516,-1.65446
0.522845,0.149041,-1.57259
0.523283,0.133764,-1.48646
0.523573,0.119367,-1.39681
0.523724,0.105883,-1.30437
0.523741,0.0933338,-1.20984
0.523634,0.0817383,-1.11387
0.52341,0.0711072,-1.01711
0.523077,0.0614452,-0.92017
0.522644,0.0527509,-0.823625
0.52212,0.0450176,-0.728015
0.521513,0.0382332,-0.63384
0.520831,0.032381,-0.541566
0.520084,0.0274397,-0.451618
0.519278,0.0233839,-0.364383
0.518424,0.0201847,-0.28021
0.517528,0.0178097,-0.199406
0.516598,0.0162239,-0.122244
0.515642,0.0153895,-0.0489554
0.514666,0.0152668,0.0202628
0.513678,0.0158142,0.0852504
0.512685,0.0169887,0.145882
0.511691,0.0187462,0.202065
0.510703,0.0210419,0.253739
0.509727,0.0238305,0.300876
0.508766,0.0270667,0.343474
0.507826,0.0307051,0.38156
0.506911,0.0347009,0.415186
0.506024,0.0390099,0.444427
0.505169,0.0435887,0.469382
0.504349,0.048395,0.490166
0.503565,0.0533879,0.506912
0.502822,0.0585277,0.519769
0.502119,0.0637764,0.528901
0.501459,0.0690976,0.534483
0.500842,0.0744567,0.536699
0.50027,0.0798213,0.535744
0.499743,0.0851605,0.531816
0.499262,0.0904457,0.525122
0.498825,0.0956504,0.515871
0.498433,0.10075,0.504273
0.498086,0.105722,0.490541
0.497781,0.110547,0.474888
0.49752,0.115206,0.457522
0.497299,0.119683,0.438651
0.497119,0.123965,0.418479
0.496976,0.128039,0.397205
0.496871,0.131895,0.375021
0.4968,0.135526,0.352114
0.496763,0.138924,0.328663
0.496756,0.142086,0.304841
0.496779,0.145008,0.280811
0.496829,0.14769,0.256727
0.496905,0.150131,0.232734
0.497003,0.152333,0.20897
