Execution Time (ms)
72.82
75.585
72.102
81.127
96.323
75.89
73.227
76.339
85.505
77.621
75.119
75.486
82.355
81.011
82.091
76.846
73.987
75.428
74.832
76.132
74.386
73.456
79.749
73.508
75.534
105.66
87.718
75.082
78.891
106.458
91.154
79.885
76.187
75.15
74.959
72.331
74.338
74.278
72.655
74.148
73.356
85.933
72.105
74.901
83.571
73.775
70.265
72.819
70.355
72.281
68.368
68.914
68.742
68.468
69.587
73.064
