z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18244
0.74376,-1.28629,-5.27433
0.730754,-1.35522,-8.02251
0.716942,-1.44221,-8.81775
0.702295,-1.51156,-4.17707
0.687263,-1.51346,3.33377
0.672528,-1.44941,8.66775
0.658568,-1.3491,10.8145
0.645568,-1.23968,10.8385
0.633511,-1.13491,10.1196
0.622317,-1.03719,9.50766
0.611916,-0.943781,9.24244
0.602276,-0.851621,9.21401
0.593389,-0.759356,9.23252
0.585255,-0.667255,9.17219
0.577869,-0.576361,8.99691
0.571218,-0.487745,8.72696
0.565282,-0.402165,8.39862
0.560033,-0.320318,8.02022
0.555446,-0.242054,7.64705
0.551475,-0.171108,7.00211
0.548072,-0.105894,6.3988
0.545194,-0.0467085,5.74467
0.542808,0.00804931,5.21974
0.540873,0.0558078,4.58319
0.539343,0.0978112,4.05326
0.53819,0.135276,3.61188
0.537394,0.169688,3.28511
0.536936,0.199863,2.90379
0.536796,0.22696,2.60539
0.536964,0.251773,2.36903
0.537425,0.273875,2.11717
0.538169,0.294339,1.94488
0.539187,0.312787,1.75876
0.540471,0.330341,1.65489
0.542027,0.348833,1.70014
0.543844,0.364952,1.55285
0.545916,0.38166,1.58458
0.548254,0.400497,1.72823
0.550847,0.416909,1.58245
0.553683,0.434185,1.62127
0.556766,0.452907,1.69978
0.560078,0.469723,1.56722
0.56359,0.484447,1.38789
0.567271,0.497082,1.15909
0.571067,0.503594,0.61687
0.574933,0.508246,0.294227
0.578824,0.507805,-0.216181
0.582679,0.502264,-0.697423
0.586454,0.493557,-1.02579
0.590108,0.481457,-1.33257
0.593613,0.467528,-1.51097
0.596946,0.451432,-1.6876
0.600091,0.434467,-1.77116
0.603037,0.416527,-1.85373
0.605767,0.396159,-2.04197
0.608274,0.375432,-2.10793
0.610551,0.353206,-2.24953
0.61259,0.329527,-2.38655
0.614383,0.304178,-2.52738
0.615932,0.278802,-2.5483
0.61724,0.252501,-2.60573
0.618308,0.225496,-2.64066
0.619146,0.199204,-2.57814
0.619769,0.173943,-2.47677
0.620196,0.15002,-2.33203
0.620444,0.127648,-2.15662
0.620535,0.107709,-1.91377
0.620492,0.0896452,-1.70463
0.620337,0.0743779,-1.43987
0.620105,0.063553,-1.05193
0.619825,0.0556051,-0.737588
0.619512,0.0493928,-0.505801
0.619191,0.0471134,-0.160859
0.618895,0.0495509,0.239382
0.618637,0.0526634,0.380182
0.618417,0.0573061,0.535004
0.618236,0.062735,0.595245
0.618092,0.068611,0.598069
0.617976,0.0745502,0.564974
0.617877,0.0798187,0.492095
0.617784,0.0846405,0.443457
0.617688,0.0892946,0.423362
0.617587,0.0939813,0.426563
0.617475,0.0980225,0.389648
0.617349,0.101799,0.365888
0.617206,0.105277,0.328645
0.617044,0.107892,0.246818
0.616857,0.110081,0.190808
0.616638,0.110337,0.0321672
0.616365,0.107622,-0.223325
0.616028,0.104109,-0.361895
0.615627,0.0999602,-0.46806
0.615152,0.0935168,-0.646857
0.614594,0.0856314,-0.757835
0.613953,0.0777095,-0.770759
0.613239,0.0697915,-0.766196
0.61246,0.0622376,-0.721922
0.611629,0.055441,-0.637925
0.610759,0.0497735,-0.519053
0.60987,0.0458041,-0.353386
0.608978,0.0430766,-0.21257
0.608101,0.0424169,-0.0189194
0.607258,0.0436295,0.163741
0.606465,0.0466824,0.34434
0.605734,0.0507195,0.459185
0.605077,0.0568795,0.635741
0.604514,0.0658353,0.867643
0.604056,0.0758551,1.0036
0.603712,0.0875899,1.17783
0.603484,0.100034,1.26515
0.603373,0.112888,1.29705
0.603373,0.125785,1.27307
0.603476,0.138135,1.19337
0.60367,0.149491,1.07983
0.603938,0.159633,0.954152
0.604266,0.168515,0.829356
0.60464,0.176179,0.71029
0.605048,0.182684,0.597388
0.60548,0.18809,0.489981
0.605924,0.192139,0.365
0.60636,0.193276,0.120239
0.606772,0.192881,-0.0610725
0.607146,0.19051,-0.275777
0.607468,0.1862,-0.474541
0.607725,0.179863,-0.659743
0.607912,0.17288,-0.731284
0.608027,0.165154,-0.782426
0.608067,0.156107,-0.86414
