z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18244
0.743379,-1.35025,-9.25115
0.729598,-1.44309,-9.31274
0.714893,-1.53651,-9.36775
0.699257,-1.63045,-9.41676
0.68271,-1.71682,-7.5651
0.665447,-1.77009,-2.89073
0.647899,-1.77142,2.17259
0.630522,-1.73069,5.46544
0.61361,-1.66707,6.93968
0.59729,-1.59484,7.38509
0.581592,-1.52011,7.54837
0.566523,-1.44342,7.80394
0.552097,-1.36338,8.20219
0.538348,-1.27902,8.64436
0.525311,-1.1905,9.02351
0.513408,-1.03236,14.0336
0.502769,-0.895131,13.9293
0.493365,-0.748282,15.413
0.485326,-0.587925,16.4428
0.47874,-0.422861,16.3982
0.4736,-0.262999,15.519
0.469821,-0.114209,14.2755
0.467287,0.0218381,13.0109
0.465868,0.143153,11.6681
0.46546,0.254445,10.6361
0.465951,0.350946,9.27914
0.467226,0.434023,7.94845
0.469202,0.508184,6.90435
0.471777,0.566947,5.48891
0.47484,0.612964,4.25746
0.478322,0.650958,3.37574
0.482146,0.677082,2.31415
0.486243,0.694757,1.50673
0.49057,0.706731,0.920813
0.495087,0.711698,0.299176
0.499755,0.711745,-0.162017
0.504553,0.708293,-0.505896
0.509463,0.701939,-0.779482
0.514473,0.694024,-0.931501
0.519579,0.685099,-1.01251
0.524767,0.674203,-1.14477
0.530036,0.664675,-1.0608
0.535411,0.659228,-0.749648
0.540881,0.651011,-0.84613
0.54642,0.641881,-0.872368
0.551999,0.631641,-0.988412
0.557589,0.620791,-1.14381
0.563149,0.608133,-1.38947
0.568622,0.591778,-1.72392
0.573923,0.568649,-2.27387
0.578992,0.545116,-2.45998
0.583774,0.517266,-2.87366
0.588205,0.485777,-3.22017
0.592237,0.452502,-3.42004
0.595835,0.417406,-3.58049
0.598973,0.38156,-3.63594
0.601649,0.347882,-3.46281
0.603861,0.313154,-3.4533
0.605624,0.282433,-3.11446
0.60698,0.255634,-2.75309
0.607951,0.22895,-2.61919
0.608558,0.203723,-2.43236
0.608836,0.180924,-2.2461
0.60882,0.158934,-2.19262
0.608538,0.137185,-2.15329
0.608006,0.113625,-2.25375
0.607229,0.088207,-2.39898
0.606234,0.0636654,-2.38634
0.605052,0.0401582,-2.31922
0.603708,0.0170052,-2.23232
0.602235,-0.00388944,-1.97731
0.60067,-0.0221186,-1.6729
0.599059,-0.0360383,-1.2536
0.597462,-0.0431396,-0.64195
0.595937,-0.0451759,-0.102715
0.594518,-0.0442467,0.285615
0.593253,-0.035724,0.934517
0.592216,-0.0181509,1.70618
0.591428,-8.77344e-05,1.93326
0.590917,0.0251036,2.53673
0.590707,0.0527805,2.79669
0.590782,0.0791987,2.73368
0.591123,0.106636,2.71544
0.591701,0.131324,2.40795
0.592464,0.151865,1.98161
0.593368,0.170117,1.66899
0.594371,0.184974,1.32388
0.595432,0.197001,1.05704
0.596526,0.207735,0.923477
0.59763,0.21586,0.727885
0.598731,0.224024,0.698726
0.599832,0.23234,0.691485
0.600924,0.238366,0.538964
0.601997,0.243194,0.431111
0.603044,0.246562,0.278143
0.604026,0.242966,-0.291893
0.604929,0.239377,-0.458969
0.605732,0.230553,-0.94423
0.606394,0.216226,-1.4369
0.606895,0.199596,-1.70676
0.607231,0.181768,-1.84798
0.6074,0.162118,-1.96526
0.607407,0.142238,-1.94249
0.607267,0.123239,-1.8306
0.607004,0.10577,-1.66804
0.606643,0.090383,-1.46173
0.60621,0.0773167,-1.23003
0.60573,0.0660424,-1.03031
0.605229,0.0583385,-0.71205
0.604744,0.0548866,-0.323156
0.604309,0.0551002,0.0588417
0.603951,0.0588415,0.438091
0.603697,0.0665179,0.825592
0.603561,0.0757705,1.01596
0.603562,0.0891249,1.32819
0.603707,0.103009,1.39269
0.603979,0.116109,1.33528
0.604361,0.128895,1.26357
0.604834,0.140447,1.10952
0.605378,0.150927,0.964104
0.605967,0.159641,0.790103
0.606583,0.167058,0.660836
0.607212,0.174166,0.611617
0.607847,0.180297,0.538696
0.608476,0.18517,0.447691
0.60909,0.189241,0.368319
0.609683,0.192423,0.269358
