z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18244
0.743379,-1.35025,-9.25115
0.729598,-1.44309,-9.31274
0.714893,-1.53651,-9.36775
0.699257,-1.63045,-9.41676
0.68271,-1.71682,-7.5651
0.665447,-1.77009,-2.89073
0.647899,-1.77142,2.17259
0.630522,-1.73069,5.46544
0.61361,-1.66707,6.93968
0.59729,-1.59484,7.38509
0.581592,-1.52011,7.54837
0.566523,-1.44342,7.80394
0.552097,-1.36338,8.20218
0.538348,-1.27902,8.6443
0.525311,-1.19051,9.02336
0.513021,-1.0988,9.28411
0.501502,-1.00514,9.4219
0.490767,-0.910655,9.45782
0.480823,-0.816238,9.41651
0.47167,-0.722558,9.31555
0.463304,-0.630157,9.16453
0.455716,-0.539505,8.96834
0.448897,-0.451037,8.73056
0.442831,-0.365148,8.45527
0.4375,-0.282187,8.14727
0.432886,-0.202455,7.8117
0.428965,-0.126202,7.45354
0.425714,-0.0536283,7.07727
0.423105,0.0151051,6.68688
0.421111,0.0798762,6.28591
0.419704,0.140596,5.87752
0.418852,0.197206,5.46461
0.418526,0.249675,5.04984
0.418693,0.297998,4.63561
0.419321,0.34219,4.22412
0.420379,0.382291,3.81735
0.421833,0.418357,3.41709
0.42365,0.450462,3.02494
0.4258,0.478694,2.64232
0.428249,0.503156,2.27053
0.430965,0.523962,1.9107
0.433917,0.541237,1.56383
0.437076,0.555115,1.23081
0.44041,0.565739,0.912411
0.44389,0.573259,0.609279
0.447489,0.57783,0.321968
0.451179,0.579613,0.0509328
0.454935,0.578772,-0.20347
0.45873,0.575477,-0.440973
0.462542,0.569896,-0.661395
0.466348,0.5622,-0.864639
0.470127,0.552563,-1.05069
0.473859,0.541155,-1.2196
0.477525,0.528147,-1.37151
0.48111,0.513709,-1.50662
0.484596,0.498007,-1.62519
0.487971,0.481204,-1.72757
0.491221,0.463461,-1.81414
0.494335,0.444933,-1.88535
0.497303,0.425772,-1.9417
0.500118,0.406122,-1.98373
0.502771,0.386125,-2.01204
0.505256,0.365914,-2.02725
0.507571,0.345617,-2.03003
0.50971,0.325354,-2.02106
0.511673,0.30524,-2.00107
0.513457,0.28538,-1.9708
0.515064,0.265873,-1.93099
0.516494,0.246811,-1.88241
0.51775,0.228278,-1.82584
0.518834,0.210349,-1.76204
0.51975,0.193092,-1.69179
0.520503,0.176569,-1.61586
0.521097,0.160831,-1.535
0.52154,0.145924,-1.44996
0.521836,0.131886,-1.36146
0.521993,0.118749,-1.2702
0.522018,0.106536,-1.17686
0.521919,0.0952636,-1.08211
0.521703,0.0849437,-0.98656
0.521378,0.0755808,-0.890815
0.520954,0.067174,-0.795436
0.520436,0.0597166,-0.700952
0.519836,0.0531972,-0.607857
0.519159,0.0475994,-0.516608
0.518415,0.0429025,-0.427624
0.517613,0.0390819,-0.34129
0.516759,0.0361091,-0.257949
0.515862,0.0339527,-0.17791
0.514929,0.0325781,-0.101442
0.513968,0.0319484,-0.0287789
0.512985,0.0320245,0.0398821
0.511988,0.0327655,0.104379
0.510983,0.0341289,0.164583
0.509976,0.0360715,0.2204
0.508973,0.0385489,0.271766
0.50798,0.0415164,0.318646
0.507,0.0449291,0.361035
0.506039,0.0487423,0.398956
0.505102,0.0529113,0.432453
0.504191,0.0573925,0.461597
0.503311,0.0621426,0.486479
0.502464,0.0671196,0.507209
0.501654,0.0722827,0.523916
0.500882,0.0775924,0.536744
0.500151,0.0830106,0.545852
0.499461,0.0885012,0.551409
0.498815,0.0940295,0.553597
0.498214,0.0995628,0.552606
0.497657,0.10507,0.548632
0.497146,0.110524,0.541879
0.496681,0.115895,0.532553
0.49626,0.121161,0.520863
0.495884,0.126299,0.507019
0.495552,0.131288,0.491231
0.495264,0.13611,0.473707
0.495017,0.140748,0.454654
0.494811,0.145188,0.434274
0.494645,0.149419,0.412765
0.494517,0.15343,0.390319
0.494424,0.157211,0.367122
0.494366,0.160758,0.343354
0.494341,0.164065,0.319186
0.494346,0.167129,0.294782
0.49438,0.169948,0.270297
0.49444,0.172523,0.245876
0.494524,0.174854,0.221658
