z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10637
0.756243,-1.25806,-9.18245
0.743379,-1.35025,-9.25117
0.729598,-1.44309,-9.31277
0.714893,-1.53651,-9.36779
0.699258,-1.63045,-9.41681
0.682711,-1.71682,-7.56512
0.665448,-1.77009,-2.89044
0.6479,-1.77141,2.1735
0.630523,-1.73067,5.46723
0.613612,-1.66703,6.94252
0.597293,-1.59476,7.38911
0.581595,-1.51999,7.55369
0.566526,-1.44324,7.81067
0.5521,-1.36312,8.21041
0.53835,-1.27867,8.65411
0.525311,-1.19005,9.03479
0.513018,-1.09822,9.29714
0.501493,-1.00442,9.43639
0.490751,-0.909786,9.47356
0.480798,-0.815206,9.43324
0.471633,-0.721355,9.33298
0.463252,-0.628777,9.18235
0.455647,-0.537947,8.98627
0.448806,-0.4493,8.74834
0.442716,-0.363234,8.47267
0.437358,-0.280102,8.16411
0.432713,-0.200206,7.82785
0.428758,-0.123795,7.4689
0.425469,-0.0510722,7.09183
0.422821,0.0178026,6.70065
0.420785,0.0827075,6.29895
0.419333,0.143555,5.88993
0.418435,0.200286,5.47653
0.418061,0.252872,5.06141
0.41818,0.301309,4.647
0.41876,0.345615,4.23549
0.419768,0.385831,3.82886
0.421174,0.422013,3.42888
0.422944,0.454238,3.03713
0.425047,0.482595,2.65503
0.427451,0.507186,2.28382
0.430125,0.528128,1.92461
0.433036,0.545546,1.5784
0.436156,0.559573,1.24602
0.439455,0.570352,0.928235
0.442903,0.578033,0.625663
0.446472,0.582771,0.338839
0.450136,0.584725,0.0681973
0.453868,0.584059,-0.185919
0.457644,0.58094,-0.423254
0.46144,0.575536,-0.643638
0.465234,0.568018,-0.846977
0.469004,0.558556,-1.03326
0.472731,0.54732,-1.20254
0.476395,0.534481,-1.35496
0.479981,0.520205,-1.49071
0.483472,0.504658,-1.61005
0.486855,0.488002,-1.71331
0.490116,0.470396,-1.80087
0.493244,0.451996,-1.87316
0.496229,0.43295,-1.93068
0.499062,0.413404,-1.97397
0.501736,0.393498,-2.00358
0.504245,0.373365,-2.02015
0.506585,0.353131,-2.02431
0.508751,0.332918,-2.01676
0.510742,0.312839,-1.99819
0.512556,0.293001,-1.96933
0.514193,0.273501,-1.93092
0.515655,0.254433,-1.88372
0.516943,0.235879,-1.82849
0.518059,0.217917,-1.76599
0.519008,0.200614,-1.69699
0.519793,0.184032,-1.62224
0.520421,0.168225,-1.54249
0.520895,0.153238,-1.45848
0.521223,0.13911,-1.37094
0.521411,0.125873,-1.28055
0.521467,0.113552,-1.18801
0.521397,0.102164,-1.09395
0.521209,0.0917229,-0.99901
0.520912,0.0822327,-0.903782
0.520512,0.0736939,-0.808827
0.52002,0.0661008,-0.714677
0.519442,0.0594428,-0.621824
0.518787,0.0537044,-0.530729
0.518063,0.0488659,-0.441814
0.517278,0.0449034,-0.355465
0.516441,0.0417893,-0.272029
0.515559,0.0394929,-0.191818
0.514639,0.0379805,-0.115106
0.513689,0.0372158,-0.0421302
0.512717,0.0371603,0.0269073
0.511728,0.0377737,0.0918397
0.51073,0.0390143,0.152534
0.509728,0.0408392,0.20889
0.508728,0.0432045,0.260839
0.507736,0.046066,0.308342
0.506757,0.0493791,0.351388
0.505796,0.0530993,0.389994
0.504856,0.0571825,0.4242
0.503941,0.0615849,0.454072
0.503057,0.0662636,0.479696
0.502204,0.0711767,0.501177
0.501387,0.0762835,0.518639
0.500607,0.0815443,0.532223
0.499867,0.0869213,0.542081
0.499168,0.0923781,0.548381
0.498512,0.09788,0.551299
0.4979,0.103394,0.551022
0.497332,0.10889,0.547744
0.496809,0.114337,0.541664
0.496331,0.11971,0.532986
0.495898,0.124984,0.521915
0.495509,0.130135,0.50866
0.495165,0.135144,0.493429
0.494863,0.13999,0.476429
0.494604,0.144658,0.457863
0.494386,0.149133,0.437933
0.494207,0.153403,0.416836
0.494066,0.157456,0.394764
0.493962,0.161284,0.371901
0.493892,0.16488,0.348428
0.493855,0.168239,0.324516
0.49385,0.171358,0.300328
0.493873,0.174233,0.276019
0.493923,0.176866,0.251738
0.493998,0.179256,0.22762
0.494096,0.181407,0.203795
