z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18244
0.743379,-1.35025,-9.25115
0.729598,-1.44309,-9.31274
0.714893,-1.53651,-9.36775
0.699257,-1.63045,-9.41676
0.68271,-1.71682,-7.5651
0.665447,-1.77009,-2.89073
0.647899,-1.77142,2.17259
0.630522,-1.73069,5.46545
0.61361,-1.66707,6.93972
0.59729,-1.59484,7.3852
0.581592,-1.52011,7.54861
0.566523,-1.44342,7.80439
0.552097,-1.36337,8.20293
0.538348,-1.279,8.64544
0.525311,-1.19047,9.025
0.51302,-1.09874,9.28633
0.501499,-1.00506,9.42471
0.490763,-0.910544,9.46118
0.480816,-0.816091,9.42038
0.47166,-0.72237,9.31985
0.46329,-0.629923,9.16918
0.455698,-0.539224,8.97326
0.448872,-0.450706,8.73569
0.442799,-0.364764,8.46052
0.437461,-0.28175,8.15259
0.432838,-0.201965,7.81703
0.428906,-0.125659,7.45884
0.425643,-0.0530326,7.08251
0.423021,0.0157527,6.69203
0.421013,0.0805747,6.29094
0.41959,0.141344,5.88245
0.418723,0.198003,5.46945
0.418379,0.250521,5.05462
0.418529,0.298891,4.64038
0.419139,0.343131,4.22892
0.420179,0.38328,3.82223
0.421615,0.419396,3.4221
0.423415,0.451551,3.03011
0.425547,0.479836,2.6477
0.427979,0.504353,2.27613
0.430678,0.525216,1.91654
0.433615,0.542551,1.56992
0.436759,0.556491,1.23715
0.440079,0.56718,0.918982
0.443546,0.574766,0.616065
0.447133,0.579406,0.328941
0.450813,0.58126,0.0580576
0.454559,0.580491,-0.196234
0.458346,0.577268,-0.43367
0.462151,0.57176,-0.654075
0.465952,0.564138,-0.857353
0.469727,0.554573,-1.04349
0.473456,0.543237,-1.21254
0.477121,0.530299,-1.36464
0.480705,0.515928,-1.49999
0.484192,0.50029,-1.61886
0.487569,0.483549,-1.72157
0.490822,0.465864,-1.80852
0.493941,0.44739,-1.88015
0.496915,0.428279,-1.93694
0.499735,0.408674,-1.97946
0.502396,0.388717,-2.00827
0.504889,0.368542,-2.024
0.507212,0.348274,-2.02731
0.509361,0.328036,-2.01889
0.511334,0.30794,-1.99945
0.513129,0.288093,-1.96972
0.514747,0.268595,-1.93046
0.516188,0.249535,-1.88241
0.517455,0.230999,-1.82636
0.518551,0.213062,-1.76307
0.519479,0.195793,-1.69331
0.520244,0.179251,-1.61784
0.52085,0.163491,-1.53742
0.521304,0.148558,-1.45279
0.521612,0.13449,-1.36466
0.521781,0.121319,-1.27375
0.521817,0.109068,-1.18073
0.521728,0.0977561,-1.08626
0.521523,0.0873934,-0.990958
0.521208,0.0779855,-0.895426
0.520793,0.0695315,-0.800226
0.520285,0.0620254,-0.705885
0.519693,0.0554561,-0.6129
0.519024,0.0498074,-0.521726
0.518288,0.0450591,-0.432786
0.517492,0.0411868,-0.346463
0.516644,0.0381624,-0.263104
0.515753,0.0359547,-0.183016
0.514825,0.0345294,-0.106472
0.513868,0.0338499,-0.0337074
0.512889,0.0338774,0.0350801
0.511896,0.0345711,0.099726
0.510893,0.0358889,0.1601
0.509888,0.0377876,0.216106
0.508887,0.0402231,0.267678
0.507894,0.0431509,0.31478
0.506915,0.0465262,0.357404
0.505954,0.0503043,0.39557
0.505016,0.0544408,0.429323
0.504104,0.058892,0.458731
0.503222,0.0636149,0.483882
0.502374,0.0685674,0.504885
0.501561,0.0737087,0.521867
0.500786,0.0789993,0.534971
0.500052,0.0844013,0.544353
0.499359,0.0898783,0.550183
0.49871,0.0953958,0.552639
0.498104,0.100921,0.551911
0.497544,0.106423,0.548194
0.497028,0.111873,0.54169
0.496558,0.117244,0.532603
0.496133,0.122512,0.521143
0.495753,0.127654,0.507517
0.495417,0.132648,0.491937
0.495123,0.137478,0.474608
0.494872,0.142126,0.455737
0.494662,0.146579,0.435526
0.494491,0.150823,0.414172
0.494358,0.154848,0.391867
0.494262,0.158646,0.368797
0.494199,0.16221,0.345141
0.49417,0.165536,0.321071
0.494171,0.168619,0.29675
0.494201,0.171458,0.272334
0.494257,0.174053,0.247969
0.494339,0.176406,0.223791
0.494442,0.178518,0.19993
