z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18244
0.743379,-1.35025,-9.25115
0.729598,-1.44309,-9.31276
0.714893,-1.53651,-9.36777
0.699257,-1.63045,-9.41679
0.682711,-1.71682,-7.56511
0.665448,-1.77009,-2.89052
0.647899,-1.77141,2.17326
0.630523,-1.73068,5.46679
0.613612,-1.66704,6.94189
0.597292,-1.59478,7.3883
0.581594,-1.52002,7.55271
0.566525,-1.44328,7.80952
0.552099,-1.36317,8.20912
0.538349,-1.27874,8.65269
0.52531,-1.19013,9.03326
0.513017,-1.09831,9.29552
0.501493,-1.00453,9.4347
0.490752,-0.909913,9.47184
0.4808,-0.81535,9.43153
0.471636,-0.721516,9.33132
0.463256,-0.628954,9.18077
0.455653,-0.538139,8.98478
0.448814,-0.449507,8.74697
0.442725,-0.363454,8.47142
0.43737,-0.280334,8.16299
0.432727,-0.200448,7.82685
0.428775,-0.124046,7.46802
0.425488,-0.051332,7.09106
0.422843,0.0175356,6.69998
0.42081,0.0824342,6.29835
0.419361,0.143276,5.8894
0.418466,0.200002,5.47604
0.418095,0.252584,5.06096
0.418217,0.301016,4.64656
0.4188,0.345318,4.23506
0.419811,0.385529,3.82842
0.42122,0.421707,3.42842
0.422993,0.453927,3.03664
0.425099,0.482278,2.65449
0.427506,0.506865,2.28323
0.430545,0.590107,6.37419
0.434287,0.648304,5.79458
0.438661,0.71132,6.81812
0.443754,0.78381,7.50459
0.449624,0.858308,7.25523
0.456239,0.926193,6.28752
0.463503,0.982583,5.0389
0.471294,1.0265,3.82783
0.479493,1.05913,2.77762
0.488,1.08208,1.87954
0.49673,1.09662,1.08001
0.505608,1.10348,0.33562
0.514564,1.10309,-0.370925
0.523534,1.09585,-1.03748
0.532457,1.08219,-1.65484
0.541277,1.06265,-2.21524
0.549941,1.03782,-2.7153
0.558405,1.00831,-3.15536
0.566628,0.974699,-3.53761
0.574575,0.937561,-3.86474
0.582215,0.89743,-4.13933
0.589521,0.854817,-4.36378
0.596473,0.810213,-4.54052
0.603052,0.76408,-4.67213
0.609244,0.716856,-4.76139
0.615038,0.66895,-4.8112
0.620427,0.620738,-4.82456
0.625406,0.572572,-4.80448
0.629973,0.524768,-4.75394
0.63413,0.477617,-4.67585
0.637879,0.431379,-4.57303
0.641226,0.386287,-4.44823
0.644178,0.342546,-4.30409
0.646745,0.300337,-4.14312
0.648935,0.259816,-3.96772
0.650762,0.221114,-3.78017
0.652238,0.184342,-3.58259
0.653377,0.14959,-3.377
0.654194,0.116927,-3.16527
0.654705,0.086406,-2.94914
0.654926,0.0580623,-2.73021
0.654875,0.0319159,-2.50999
0.654567,0.00797236,-2.28984
0.654021,-0.0137756,-2.07101
0.653254,-0.0333473,-1.85465
0.652284,-0.0507731,-1.6418
0.651128,-0.0660929,-1.43339
0.649805,-0.0793557,-1.23027
0.648331,-0.0906185,-1.03319
0.646724,-0.099945,-0.842807
0.645001,-0.107406,-0.659709
0.643178,-0.113076,-0.484401
0.641271,-0.117035,-0.317315
0.639295,-0.119369,-0.158811
0.637265,-0.120164,-0.00918732
0.635197,-0.119511,0.131324
0.633103,-0.117501,0.262548
0.630996,-0.114228,0.384366
0.628889,-0.109787,0.496714
0.626794,-0.104272,0.599576
0.624721,-0.0977776,0.692983
0.62268,-0.0903988,0.777012
0.620681,-0.0822285,0.85178
0.618733,-0.0733585,0.917444
0.616842,-0.0638788,0.974195
0.615017,-0.0538774,1.02226
0.613263,-0.0434398,1.06189
0.611586,-0.0326489,1.09338
0.60999,-0.0215846,1.11703
0.608481,-0.0103234,1.13318
0.60706,0.00106138,1.14217
0.60573,0.0125002,1.14438
0.604494,0.0239272,1.14019
0.603353,0.0352804,1.13
0.602308,0.046502,1.11421
0.601357,0.0575382,1.09324
0.600503,0.0683393,1.0675
0.599742,0.0788598,1.03742
0.599074,0.0890584,1.0034
0.598497,0.0988982,0.965879
0.598009,0.108346,0.925259
0.597607,0.117373,0.88195
0.597289,0.125955,0.83635
0.59705,0.134071,0.788849
0.596887,0.141703,0.739824
0.596797,0.148839,0.689638
