N,az_rms,az_p2p
1,4.990434556177086,120.62970000000001
6,3.4404268703834266,72.988
11,3.920190267506109,87.6314
16,5.3151066623251655,122.6606
21,3.8219704071496654,73.1985
26,5.639887591219441,131.1034
31,5.5514594730242806,131.1429
36,5.2760826680999084,122.2156
41,4.86161254199947,111.6003
46,5.4868253315420805,128.2338
50,6.274676806818685,134.7882
