z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18244
0.743379,-1.35025,-9.25115
0.729598,-1.44309,-9.31274
0.714893,-1.53651,-9.36775
0.699257,-1.63045,-9.41676
0.68271,-1.71682,-7.5651
0.665447,-1.77009,-2.89073
0.647899,-1.77142,2.17259
0.630522,-1.73069,5.46544
0.61361,-1.66707,6.93968
0.59729,-1.59484,7.38509
0.581592,-1.52011,7.54837
0.566523,-1.44342,7.80394
0.552097,-1.36338,8.20218
0.538348,-1.27902,8.6443
0.525311,-1.19051,9.02336
0.513021,-1.0988,9.28411
0.501502,-1.00514,9.42183
0.490767,-0.910657,9.45758
0.480824,-0.816244,9.41601
0.471671,-0.722571,9.3147
0.463306,-0.630179,9.16326
0.45572,-0.539543,8.96659
0.448903,-0.451095,8.72831
0.442841,-0.365231,8.45249
0.437516,-0.282301,8.14398
0.432908,-0.202605,7.80791
0.428996,-0.126391,7.44928
0.425755,-0.0538631,7.07257
0.42316,0.0148212,6.68179
0.421182,0.0795395,6.28045
0.419793,0.140203,5.87174
0.418964,0.196754,5.45853
0.418663,0.24916,5.04346
0.418859,0.297417,4.62892
0.41952,0.341541,4.2171
0.420613,0.38157,3.80994
0.422107,0.41756,3.40922
0.423968,0.449583,3.01651
0.426164,0.477728,2.63323
0.428663,0.502094,2.26065
0.431819,0.589215,6.64745
0.435706,0.649924,6.05626
0.44025,0.716006,7.16852
0.445545,0.792382,7.91851
0.45165,0.87107,7.66913
0.458531,0.942863,6.65163
0.466086,1.00253,5.33185
0.474181,1.049,4.0498
0.482693,1.08351,2.93828
0.491511,1.1078,1.98927
0.500547,1.1232,1.14647
0.509721,1.13052,0.363728
0.518959,1.13023,-0.377611
0.528194,1.12275,-1.0756
0.537362,1.10856,-1.72068
0.546404,1.08823,-2.30473
0.555267,1.0624,-2.82426
0.563904,1.03172,-3.2797
0.572274,0.996804,-3.67349
0.580342,0.958262,-4.00864
0.588077,0.916663,-4.28804
0.595453,0.872551,-4.51442
0.602449,0.826442,-4.69049
0.609048,0.778824,-4.81914
0.615237,0.730154,-4.90341
0.621006,0.680861,-4.94651
0.626349,0.631338,-4.95171
0.631264,0.581948,-4.92229
0.63575,0.53302,-4.86147
0.63981,0.484851,-4.77238
0.643448,0.437707,-4.65807
0.646672,0.391826,-4.52149
0.649491,0.347416,-4.36543
0.651914,0.304656,-4.19258
0.653955,0.263702,-4.00547
0.655626,0.224683,-3.80649
0.656942,0.187706,-3.5979
0.657918,0.152856,-3.38176
0.658572,0.120199,-3.16004
0.658918,0.0897797,-2.93453
0.658976,0.0616284,-2.70689
0.658763,0.0357578,-2.47865
0.658297,0.0121667,-2.25119
0.657596,-0.0091596,-2.02578
0.656679,-0.0282478,-1.80358
0.655565,-0.0451353,-1.58561
0.654271,-0.0598695,-1.37281
0.652817,-0.0725065,-1.16599
0.651219,-0.08311,-0.965894
0.649495,-0.0917507,-0.773157
0.647663,-0.0985052,-0.588334
0.645738,-0.103455,-0.4119
0.643739,-0.106687,-0.244252
0.641679,-0.108289,-0.0857189
0.639574,-0.108355,0.0634401
0.637438,-0.10698,0.203028
0.635285,-0.10426,0.332906
0.633128,-0.100292,0.452995
0.630979,-0.095175,0.563264
0.62885,-0.0890068,0.663735
0.62675,-0.081885,0.754474
0.624691,-0.0739065,0.835592
0.622681,-0.0651666,0.90724
0.620728,-0.0557592,0.969607
0.61884,-0.0457758,1.02292
0.617024,-0.0353058,1.06742
0.615285,-0.0244357,1.10341
0.613628,-0.0132491,1.13119
0.612059,-0.00182624,1.1511
0.610579,0.00975592,1.16349
0.609193,0.0214242,1.16875
0.607903,0.0331093,1.16725
0.60671,0.0447457,1.15941
0.605614,0.0562723,1.14564
0.604617,0.0676319,1.12636
0.603718,0.0787717,1.102
0.602915,0.0896431,1.073
0.602209,0.100202,1.03978
0.601596,0.110408,1.00277
0.601076,0.120227,0.962411
0.600644,0.129626,0.919117
0.600299,0.138579,0.873303
0.600036,0.147062,0.825375
0.599853,0.155056,0.775728
0.599745,0.162546,0.724741
0.599709,0.169522,0.672783
