N,avg_time_ms
1,0.038373655913978504
6,0.08538389261744966
11,0.31947711978465676
16,0.9469033783783783
21,1.5527166890982502
26,2.9204719405003385
31,4.27322237106497
36,6.1563357958361316
41,6.88033648010789
46,11.026136090225563
50,12.393325291181364
