z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18244
0.743379,-1.35025,-9.25116
0.729598,-1.44309,-9.31276
0.714893,-1.53651,-9.36777
0.699257,-1.63045,-9.4168
0.682711,-1.71682,-7.56511
0.665448,-1.77009,-2.89051
0.647899,-1.77141,2.17329
0.630523,-1.73068,5.46684
0.613612,-1.66704,6.94196
0.597292,-1.59478,7.38838
0.581595,-1.52001,7.5528
0.566525,-1.44327,7.80962
0.552099,-1.36316,8.20923
0.538349,-1.27873,8.6528
0.525311,-1.19012,9.03336
0.513018,-1.0983,9.29562
0.501494,-1.00452,9.43479
0.490752,-0.909903,9.47193
0.4808,-0.81534,9.43162
0.471636,-0.721505,9.33139
0.463256,-0.628942,9.18084
0.455652,-0.538127,8.98484
0.448814,-0.449493,8.74702
0.442725,-0.363441,8.47146
0.437369,-0.28032,8.16302
0.432726,-0.200434,7.82688
0.428774,-0.124032,7.46804
0.425488,-0.0513173,7.09107
0.422842,0.0175504,6.69999
0.420809,0.0824491,6.29836
0.419359,0.143291,5.8894
0.418465,0.200017,5.47605
0.418094,0.252599,5.06096
0.418215,0.301031,4.64656
0.418798,0.345333,4.23506
0.41981,0.385544,3.82842
0.421218,0.421722,3.42842
0.422991,0.453942,3.03665
0.425097,0.482294,2.6545
0.427504,0.50688,2.28325
0.43018,0.527816,1.924
0.433094,0.545227,1.57774
0.436216,0.559247,1.24532
0.439516,0.570019,0.927485
0.442966,0.577693,0.624872
0.446537,0.582422,0.338012
0.450203,0.584368,0.0673393
0.453936,0.583693,-0.186801
0.457713,0.580565,-0.424153
0.46151,0.575152,-0.644545
0.465304,0.567625,-0.847886
0.469075,0.558154,-1.03416
0.472802,0.54691,-1.20343
0.476466,0.534061,-1.35582
0.480052,0.519777,-1.49153
0.483543,0.504222,-1.61083
0.486925,0.487558,-1.71405
0.490185,0.469945,-1.80155
0.493312,0.451538,-1.87379
0.496296,0.432487,-1.93125
0.499128,0.412936,-1.97446
0.501801,0.393025,-2.004
0.504308,0.372888,-2.02049
0.506646,0.352651,-2.02457
0.508811,0.332436,-2.01694
0.5108,0.312356,-1.99829
0.512612,0.292517,-1.96935
0.514248,0.273018,-1.93086
0.515707,0.25395,-1.88358
0.516993,0.235398,-1.82827
0.518108,0.217438,-1.7657
0.519054,0.200139,-1.69662
0.519838,0.183561,-1.62181
0.520463,0.167758,-1.542
0.520936,0.152776,-1.45793
0.521262,0.138654,-1.37033
0.521448,0.125424,-1.2799
0.521502,0.113109,-1.1873
0.52143,0.101729,-1.09321
0.52124,0.0912953,-0.998236
0.520941,0.0818131,-0.902979
0.52054,0.0732824,-0.808001
0.520046,0.0656977,-0.713832
0.519467,0.0590482,-0.620967
0.518811,0.0533184,-0.529864
0.518086,0.0484886,-0.440947
0.5173,0.0445347,-0.3546
0.516462,0.0414293,-0.271172
0.515578,0.0391414,-0.190972
0.514658,0.0376374,-0.114276
0.513708,0.0368808,-0.0413208
0.512734,0.0368333,0.0276927
0.511745,0.0374544,0.0925976
0.510746,0.0387025,0.153261
0.509744,0.0405344,0.209584
0.508744,0.0429065,0.261496
0.507752,0.0457743,0.308961
0.506773,0.0490934,0.351966
0.505812,0.0528192,0.39053
0.504872,0.0569075,0.424693
0.503958,0.0613146,0.45452
0.503073,0.0659976,0.480098
0.502221,0.0709145,0.501533
0.501404,0.0760245,0.518949
0.500625,0.0812883,0.532486
0.499886,0.0866677,0.542299
0.499187,0.0921264,0.548553
0.498532,0.0976297,0.551427
0.49792,0.103145,0.551107
0.497353,0.108641,0.547786
0.496831,0.114089,0.541665
0.496354,0.119462,0.532947
0.495922,0.124735,0.521839
0.495534,0.129885,0.508548
0.49519,0.134892,0.493283
0.49489,0.139737,0.476251
0.494631,0.144403,0.457655
0.494413,0.148876,0.437698
0.494235,0.153143,0.416576
0.494095,0.157193,0.394481
0.493992,0.161019,0.371599
0.493923,0.164612,0.348108
0.493887,0.167967,0.32418
0.493882,0.171082,0.299979
0.493906,0.173954,0.27566
0.493957,0.176583,0.25137
0.494032,0.17897,0.227247
0.494131,0.181117,0.203418
